label,narrative
Human Factors,I was sent to Gate XX to Aircraft X by my Lead so the original pilot can fix his write up on Aircraft X log book. When I got to the gate the aircraft was already push back on the aisle way. I used the ramp headset and spoke to the Pilot. Who I was and why I was there. I ask him if it was ok for me to bring a lift & give him the log book through the window so he can fix his write up. He said ok. I ask him to turn his engine #1 off & he gave me a signal to come through engine #2 to double check I ask him again to turn his engine #1 off. he gave me the signal to come around engine #2 for the second time. I said ok; few minutes later I drove across in the front of the Aircraft X and park the lift on the right side of the aircraft under co pilot window. When I came back the ramp people were gone but the engine #2 was off. Since engine #2 was off I thought me and the Pilot were on] the same page. I park the lift and put the stabilizer down before I can go up the aircraft started rolling but engine #2 was still off. Try to move it but there was nothing I can do so I jumped off the lift. After that the aircraft impacted the lift.I was rushing and didn't follow all the steps. [I should have taken my] time.
Human Factors,Total flight time 9 minutes.Captain (PF (Pilot Flying))CoPilot (PM (Pilot Monitoring))We departed ZZZ1 with an IFR clearance 'cleared to ZZZ; rwy heading; radar vectors ZZZ2; direct. Climb maintain 3000'.' Both ZZZ1 and ZZZ were reporting VFR conditions. We waited approximately 25-30 before we were given cleared for takeoff. I the Captain briefed to the Copilot that this is a short flight (less than 20 Nautical miles away; and that we would keep take off flaps out the entire route so that we can fly slower and set us up for the quick landing into ZZZ. After takeoff we were given a right turn to 360 degrees and contact Departure.  Upon checking into Departure communicated that 'we had a visual of ZZZ; we were given ' cleared for the visual approach Runway XXL into ZZZ. The next controller (Approach) statedController : 'altimeter 30.25; Do you have ZZZ insight' Copilot : unreadable 'yes we were cleared for the visual approach.'Controller : 'YES SIR; You are in a 4000 ft. MVA climb immediately; you are at 1500 ft. in a 4000 ft. MVA; climb immediately; climb and maintain 4000 ft. 'inside the cockpit I verbalized to the Copilot to confirm we got cleared for the visual into XXL into ZZZ!? He confirmed yes! Having conflicting info from 2 Controllers; and with terrain and airport in sight I made the decision to cancel the IFR flight plan. Copilot (not recorded; due to inoperable PTT or blocked by another transmission): announced our intention to cancel IFR.Controller : 'Expedite climb; climb and maintain 4000 ft.!'That's when I (Captain) jumped on the radio and announcedCaptain: 'Aircraft X is canceling IFR we are VMC with airport insight; (and reiterated to Controller that ) we were already cleared for the visual approach XXL into ZZZ.'Controller :  'I understand Aircraft X is canceling IFR at this time'.Captain: YES! Controller : 'cancelation of IFR is received and that we are below 4000 ft. MVA (Minimum Vectoring Altitude) do you have terrain in sight?. Captain  terrain in sight; VMC on the visual XXL; switching to Tower.We switch to ZZZ Tower.Captain : checks inZZZ Tower: are VFR or IFR?Captain: VFR; but explains what had happened with previous Controller.ZZZ Tower: I am familiar with that Controller it doesn't surprise me;......XXL clear to land.Captain: confirms clear to land XXL.ZZZ Tower: You are #1 to land.Copilot: ConfirmsZZZ Tower: You are #1 to landInside the cockpit Captain confirms Copilot is using correct PTT (Push to talk); Copilot confirms and resumes his duties and transmits to Tower...Copilot: #1 clear to land.Aircraft lands.
Environment - Non Weather Related,A crane was set up at Billings Terminal. The NOTAM stated 236 AGL. A snow storm began and visibility / ceilings dropped to IFR and near approach minimums. Aircraft X was inbound for ILS to Runway 28R. We were concerned about the crane and checked missed approach instructions for [the] 28R ILS. I told the Radar Controller to amend Aircraft X missed approach instructions from 4;000 before a left turn; to 4;500 before a left turn.Aircraft X did go missed approach and began a climb straight ahead. I noticed on the radar display that they were drifting left of the runway towards the crane; which was barely visible from the Tower. I gave Aircraft X a vector away from the crane as I was concerned with the proximity. I then saw Aircraft X out the Tower window pass just slightly right of and slightly above the crane. Reviewing Falcon and estimating the crane position put Aircraft X 0.1 mile laterally and 450 ft. above the crane. There were no adjustments to approach minimums; decision heights; or minimum descent altitudes made aware to pilots or ATC.I have been made aware that construction like this and use of a crane in close proximity to a runway alters approach minimums and this should all be NOTAM'd. As far as I can tell none of this was done. The Front Line Manager and Air Traffic Management were made aware of the event and operations continued throughout the day with even worse weather. Although the crane was only about a third of a mile from the Tower and more than double the height of the Tower; it wasn't always visible. ATC was not informed of any changes to approach minimums nor were any alternate missed approach instructions brought up before this event. This should have been all planned and briefed beforehand and possible cancelled due to weather.
Ambiguous,On the RYDRR 2 Arrival approaching CLIFY at approximately 7;500 ft; a drone passed by our right wing at our altitude. It was close enough that we were able to see it in our landing lights. I initially noticed it when I saw what looked like position lights approaching the aircraft. There was no time to react.
,Runway switch to a previously closed runway. Visual approach backed up with the ILS Runway XXR that showed a good identification; but was out of serviceGPWS ; GPWS Terrain ; ATC Issued Low Altitude Warning
Human Factors,While on visual approach to SAT we were given a runway change. We executed the runway change in the FMC and verified the changes.  As the Captain intercepted the localizer we began our approach. As the glide slope started to come in we started our descent. I could start to see that we were visually low on approach and stated that a correction was necessary. He also verified this and began to correct the altitude. The GPWS warning was activated around the time of the correction. We had both the runway and Tower in sight as we corrected. The Tower Controller noticed our altitude and informed us that the 13R ILS was OTS. We landed without further incident.
Ambiguous,Possible 5G interference. Soon after liftoff in IMC we received multiple 'terrain-terrain' warnings. The Captain's Radio Altimeter was on MEL and the FOs Radio altimeter became erratic. The warnings began 200 or 300 feet AGL and continued until about 1200 ft. MSL. The event was reported to ATC (Oakland Center) on XXX.X. The Radio altimeter behaved normally on descent into ZZZ. Maintenance decided to replace the radio altimeter transceiver.
Aircraft,A normal departure from ZZZ took us through a normal level off; switch over to Center Controllers; and a crew change for the first break. I was on the first break; just over an hour after takeoff; the airplane was cruising at 32000 ft. and I felt a pronounced deceleration; it felt from my position on the upper deck as if the airplane was starting a descent. I went up to the flight deck and observed that we had a FLAPS DRIVE EICAS message and an expanded flap position display that showed the cross-hatch 'in transit' depiction for the right wing mid span leading edge device. I switched back into the left seat and while doing this I noticed the red maximum speed indicator on the airspeed had come down to 280 kts. while the red minimum speed indication had come up to about 255 and the roughly 25 kt. window in between was showing the minimum maneuvering speed amber line. The deceleration had been the autothrottle trying to reset the speed below the max speed for flaps 1 but also trying to stay above the min maneuvering speed and this was impossible because they were overlapping. It was close to 280 kts. which gave us a mach number of about .76 (we had been at mach .86 for cost index 600). I asked one crewmember to find a FLAPS DRIVE procedure in the QRH while I disconnected the autothrottles and set the speed bug to 280 at the bottom of the red. I asked the First Officer in the right seat to maintain the position of Pilot Flying and also explained to him he would have to maintain the speed manually. The QRH procedure takes you to a decision point asking whether FLAPS DRIVE appeared during flap retraction; or during flap extension; in our case neither of those cases applied to us so we could not accomplish much in the way of corrective action until reaching the deferred items and the instruction to use a Vref for flaps 30+25. At this point I confirmed with Dispatch and Maintenance Control via a satphone call that a return to ZZZ would be warranted. I initiated a re-clearance back to ZZZ via CPDLC with the Center Controller; which we received as direct ZZZZZ; direct ZZZZZ1 for the ZZZZZ arrival. Once on course back to ZZZ we requested; again through CPDLC; clearance to begin a fuel dump to reduce down to max landing weight; this was eased by the fact this airplane has the MLW option on the fuel jettison selector. We briefed that I would become flying pilot for the final approach and landing; and we had calculated our ref speed of 181 using vref 30+25 guidance from the QRH; and we also determined landing distances from the performance inflight section of the QRH. We had also asked the Dispatcher to do a landing distance calculation to back us up. I determined I wanted to use Runway XXL; the longest runway; and that we would plan a turnoff at the end with autobrakes 3 to prevent creating additional problems of hot brakes after landing at a higher ref speed. The Center Controller had asked us if we were declaring an emergency as did the Center controller when we got into radar contact. In both cases we replied negative. We started configuring flaps early as we had briefed; I had said I expected to get FLAPS PRIMARY and that the flaps would extend slowly. This is exactly what occurred; but as we got to flaps 1 and then flaps 5 we noticed that from the expanded flap display that all the flaps were indicating normally down. We also verified this visually out the window; that the midspan flaps were down on the right side. Further flap extension occurred at the normal speed although FLAPS PRIMARY remained displayed. Once we had the gear down and flaps 20 set; and all groups were in normal down position; I made the decision to use the normal flaps 25 ref speed for a slower landing since we were confident of the flap position. This resulted in a flaps 25 landing without incident; and the opportunity for an earlier turnoff with brake temp values 1 or less. We left the flaps at the 25 position for the taxi in.In this situation the crew workedtogether in excellent fashion; I believe this event can be a great example of good CRM and teamwork.
Environment - Non Weather Related,Possible 5G Radio Altimeter interference event. On Approach to Runway 8 received intermittent RA fault indication on Captains PFD about 3 miles outside of the Final Approach Fix. Complied with QRH procedures and items required in bulletin XX-XXXX. This was in a high task workload situation where we were configuring for landing. Fortunately the weather was VMC and the field was in sight.The QRH requires the pilot to disconnect the auto throttles and stow the HUD. Fortunately we were able to do this; but I can envision a scenario where the weather is worse; the ATC frequency is busy and a crew member does not reference the QRH and just lands. Some training on this scenario seems justified.
Ambiguous,It was a hazy day coming into Roanoke to land on Runway 24. We asked for RNAV 24 and Approach started giving vectors. ATC asked us to descend and maintain 4000 [ft]. We were at 4000 [ft.] on a left base and about 5 miles from HIBAN which is the final approach fix for RNAV 24. ATC asked us to turn left and maintain 4000 [ft.] until establishment and cleared us for RNAV 24. That's when we got a EGPWS warning for terrain 'pull up'. We didn't initiate any descent and were still maintaining ATC assigned 4000 ft. As a crew we followed the procedure for terrain warning and executed a go-around and informed ATC about the terrain warning. ATC replied saying 'recently other people are getting terrain alerts where we got it.' We followed all the procedures and had an uneventful landing on the next attempt to the same runway.Higher altitude for vectors by ATC would be appropriate. Vectoring through a slightly different route avoiding any ridges that could trigger EGPWS.
Ambiguous,After takeoff around 400 ft. AGL till around 900 ft. AGL we got the RA flag [with] no other indications. On arrival into RDU for 5R; again we got RA flag starting around 700 ft. AGL till about 100 ft. on and off. We also got a Tailstrike Avoid Fail message which went away around 100 ft. AGL. Logbook entry was made and ATC was notified.
Ambiguous,Flight Attendants called at cruise altitude and reported feeling light headed; nausea; and a 'bubbling' sensation on their skin. Symptoms mirrored hypoxia and we donned our Crew O2 Masks; [requested priority handling] with ATC for Crew Members feeling ill and descending normally to 10;000 feet. After flying at 10;000 feet for 10-15 minutes; F/As reported Passengers were feeling better and F/A's were improving; but still felt light headed and remained on POB (Portable Oxygen Bottle). EMS was requested to meet aircraft at the gate. Landing in ZZZ was normal; and Crew and Passengers were evaluated by EMS with no one requesting transport. Maintenance was notified of POB usage.
Human Factors,Pushed back without Final DG. Received during pushback.
Aircraft,During climbout after gear retraction; it sounded as if the nose gear was extending again; followed by nose gear retraction. This occurred several times and was accompanied by extremely loud mechanical noises which sounded like the nose gear in motion. We suspected that the uplock was not engaging the nose gear. We leveled off and took delay vectors in order to work the issue. First Officer flew the aircraft while I contacted Maintenance through Dispatch via ARINC and came to the conclusion that it was best to return to ZZZ. A return to ZZZ was worked out with ATC. Priority handling was declared by ZZZ Tower. An uneventful landing followed. After landing we had an indication that the left side forward emergency over wing exit had opened. FO (First Officer) told the passengers to remain seated and the aircraft was stopped in order to query the flight attendants on that situation. We were told that the indication was simply from the handle cover falling off. At this point we continued to the gate.
Aircraft,Left hydraulic quantity EICAS came on after aircraft fully configured for landing on short final. Landed on XXL in ZZZ uneventful. Taxied off runway onto Taxiway 1. Noticed tiller steering was getting degraded. We stopped the airplane on the Taxiway; set brake; shutdown left engine and left electric hydraulic pump. Started APU then shutdown the right engine. Requested a tow to the Gate. Left hydraulic quantity showed 16. Briefed maintenance and Chief Pilot.
Ambiguous,After an uneventful brief; pushback; startup; and taxi; we were cleared for takeoff on Runway 9R; intersection BB; at O'Hare (ORD). I was the pilot flying. The weather was perfect. No clouds; no precipitation; light winds; dry runway; and light takeoff weight (362K pounds). I was well rested and not fatigued at all. After advancing the throttles and handing them off to the Captain; everything was fine. Between 80 and 100 knots; a Red Windshear warning appeared on the ND (Navigation Display) along with an aural Windshear warning. There was NO associated pie-shaped wedge on the display to indicate where the windshear was. There was only a very narrow band about 50 degrees left of the nose from the triangle at the center of the display extending radially outward all the way to the outside of the ND. This band was only a degree or two wide and seemed to be a very clearly erroneous; spurious indication. Given the perfect weather; a windshear indication was completely unexpected and the unusual display caused confusion. Within a second or two; the Captain clearly stated 'I've got it' and initiated rejected takeoff procedures which were uneventful. After clearing the runway and accomplishing all applicable checklists; we contacted Maintenance; who directed us to return to the gate; which we did.
Aircraft,At cruise altitude en route from ZZZ-ZZZ1; we received a HYD B RSVR LO LVL ECAM. I was the PM (pilot Monitoring) and to address the ECAM; I had the FO (First Officer) (PF (Pilot Flying)) take the radios so I could address the ECAM and get in the QRH. Executed the ECAM; and referenced page in the QRH. Based on the landing distance chart; we calculated our landing distance at 3.660 ft; and immediately got both Maintenance and Dispatch in the loop. Dispatch also calculated landing distance and to be conservative; we agreed to use 4;000 ft. A few minutes after accomplishing the QRH; ECAMs complete; screens normal; we then got a L spoiler 3 indicating extended. We notified Dispatch and added the 10% fuel penalty. We landed without incident and upon ZZZ1 Maintenance observation; we were notified that there was hydraulic fluid alongside our entire underbelly; which validates the low level reservoir fluid level for the Blue system.
Human Factors,I was working Aircraft X as an upgrade lead on Gate in ZZZ; and there was a quick pack box in the gate cart; when time to scan it the scanners went out when I tried to load it then the scanners came back on a few minutes to departure and when I scanned the quick pack box it didn't show me specifically that it was a hazmat after the scanner started working; so after the trip went out I was informed to contact load plan; then the Supervisor came in to confirm that it wasn't a hazmat after calling cargo; and cargo told him it wasn't a hazmat; then after the trip left then the Supervisor called load plan afterwards; and they told him it was and that the aircraft had to return to secure the hazmat.
Aircraft,While in flight at level cruise at FL320; I was in the bunk in the rear of the aircraft when I noticed a power reduction. Immediately afterwards; the seat belt sign illuminated and I made my way to the flight deck. There was a FLAPS DRIVE EICAS with an expanded flap display indicating that the right mid-span leading edge flap deployed. As a result the airspeed band became very tight between Mmo and the yellow band as the FMC wanted to honor the maximum flap extension speed. This was in close proximity to our stall speed. The auto throttle was disconnected and the Pilot Flying manually maintained Mach. 75. We consulted with the company via sat-phone and were advised to return to ZZZ. We coordinated with ATC for the return and fuel dump. An uneventful landing was made below MLW.
Aircraft,While cruising at FL350 along Airway X between ZZZZZ and ZZZZZ1 intersections; the Master Caution light illuminated along with the FLT CONT system annunciator light. After saying 'Your Aircraft' to the Captain who was Pilot Flying for this leg and the Captain responding with 'MY AIRCRAFT;' we looked up to the overhead panel and saw the LOW PRESSURE amber light illuminated to the FLT CONTROL B side. I opened the electronic QRH to page X and read the following Condition: 'Hydraulic system pressure to the ailerons. elevators and rudder is low.' After also reading the Objective; we accomplished the only step in the QRH by moving the FLT CONTROL switch on the affected side; after confirmation; to STBY RUD. This action illuminated two other amber lights: YAW DAMPER and FEEL DIFF PRESS. There was no mention in the QRH that these two lights would subsequently light after moving the FLT CONTROL B switch to STBY RUD. After seeing these two additional amber lights; I opened the QRH to review the instructions associated with these 2 amber lights. The FEEL DIFF PRESS QRH step said to continue normal operation but that control column forces may be higher than normal; particularly during the flare. We discussed this as a crew. We then reviewed the YAW DAMPER light QRH steps; followed them and reviewed those instructions as a crew (including not to land with flaps greater than 30 and to avoid moderate or severe turbulence). The YAW DAMPER amber light remained lit after following the QRH steps. After briefly discussing the option to land in ZZZ; the Captain made the decision to return to ZZZ1. I informed ATC of our desire to do a 180 degree turn and return to ZZZ1. The ATC Controller asked why; and I responded; due to a flight control problem. The Controller gave us instructions to turn north and then gave us a clearance to return to ZZZ1. The Controller also asked if we needed further assistance; and I stated not at this time. During the turn back to ZZZ1; it was obvious the YAW DAMPER system was not working as it felt like we would slip and slide through the air in response to every gust of wind. This was even more pronounced on final approach. En route to ZZZ1 we reviewed possible diversion options should we lose hydraulic quantity or pressure but both remained stable; although System A side QTY had reduced to about 80% from 105% at departure. En route; we lowered our altitude to increase fuel burn and reduce fuel on board as much as possible. The APU was also started for that reason. We read the FOM requirements for an overweight landing which clearly state that [priority handling must be requested]. As we checked in with ZZZ1 approach; I [requested priority handling] and our intentions to conduct an overweight landing with a flight control problem in ZZZ1. I asked for Runway XX with no LAHSO (Landing And Hold Short Operations) restriction. The ATC Controller asked for other information like fuel on board in minutes and souls on board. We had XXX souls on board. During final approach the Captain stated the flight controls felt sluggish and I could feel the aircraft slip and slide in the YAW axis. The Captain made a smooth landing at a low vertical rate of descent and we exited the runway and taxied to the gate with no further incident. CFR had been called and they were there along side the runway if needed. Possible blockage in the B side Flight Control Hydraulic lines.No suggestion on how to prevent this; but I would suggest adding additional information to the FLIGHT CONTROL LOW PRESSURE section of the QRH that includes the possibility that the YAW DAMPER and FEEL DIFF PRESS lights could also illuminate and to follow those QRH steps and discuss those flight implications as a crew. The QRH implicitly treats this flight condition as very benign due to the simplicity and lack of info in the QRH for this flight problem. Is a potential blockage in the hydraulic lines to the primary flight controls really a benign condition? A context to the severity or non-severity of this flight condition would be appreciated so that decisions on continuing flight or diverting can be better made.
Aircraft,Flight was supposed to be approximately 2.5 hours from ZZZ-ZZZ1. Immediately after takeoff from ZZZ; I (Pilot Flying) realized the electronic trim for the horizontal stabilizer was not working. It was working prior to takeoff and was used to set the proper stab trim. The First Officer (Pilot Monitoring) tried his yoke trim switches; and they also did not work. We ran the Stabilizer Trim Inoperative checklist; which restored our ability to trim the stabilizer using manual trim. A secondary effect of losing electronic elevator trim is also losing the autopilot. We decided the best course of action was to return to ZZZ. We requested priority handling and returned to ZZZ for an uneventful landing. Airplane was then turned over to Maintenance for repair.No known causal factors. We had been de-iced prior to takeoff; but there is no reason to believe there was any ice buildup or contact with the deicing equipment since the manual trim worked fine.My opinion is this event was the result of a mechanical malfunction. Sometimes complex machines have malfunctions; so I have no suggestions to prevent a similar event in the future.
Weather,Flight plan release filed ILS ZZZZZ1 for Runway XXR. ATIS at cruise was calling for Runways YYL/R. Loaded and briefed ILS ZZZZZ2 for YYL. ATC clearance passing ZZZ1: pilot's discretion to FL250 ILS ZZZZZ2 for Runway YY. Prior to ZZZZZ3 we were given a heading of 160 for 2 minutes then back to ZZZZZ3. Next ATC clearance was direct ZZZZZ4 descend to 18000. Around ZZZZZ4 frequency change. Next controller gave us direct ZZZZZ5 descend 15000.We had briefed/anticipated this possibility. We requested RNP ZZZZZ6. At this time; there was confusion with ATC with which runway we were going to get assigned. Holding instructions were being given to other aircraft. We briefly talked about the possibility of holding at ZZZZZ5. Airport was in the process of switching the Runways to XXL/R. ATC came to us and assigned YYR. Apparently we would be the last ones in before the switch. Quickly loaded the FMS and briefed the approach. We reconfirmed our approach assignment based on all the transmissions to other aircraft being given XXL. Cleared for the RNP ZZZZZ6. After ZZZZZ5 but prior to ZZZZZ7; ATC gave us a clearance to maintain 190 kts. Passing ZZZZZ7; we asked to slow down to meet the restriction at ZZZZZ8. ATC's response was 'you're cleared for the approach'. Aircraft configuration at this time was gear down; flaps 20 slowing to meet the 'at 185 kts.' at ZZZZZ8. Aircraft is in VNAV PATH descending; speed brakes were being used to help slow. The next sequence of events happen very quickly and are in the best order of memory. While waiting for the airspeed to go below the next flap setting; we received a terrain caution from the GPWS. ATC asks if we are 'on track'; 'do you see the runway?' We break out of some clouds and can visually see terrain. In my quick assessment of the aircraft's descent rate and track; it didn't look like we were going to clear the terrain. Pilot Flying selects ALT HOLD to discontinue approach. We receive another terrain caution. With all of these factors and knowing that we were very close to mountainous terrain; a GO-AROUND was performed as there was some doubt that we may not be on track. We maintained the approach ground track while cleaning up the aircraft. ATC provided vectors to the ILS ZZZZZ 9 and landed. ATC [made a] last minute change of runway. Assigning an airspeed to maintain after clearance for the approach was given and not deleting the airspeed assignment. Approach design could be a factor as the 185 kts. restriction at ZZZZZ8 doesn't allow for configuration to happen in this Heavy Aircraft. (180 kts. for flaps 25/30). High TAS with aircraft descending in VNAV PATH makes it difficult to slow. Having loaded Runway YYR approach in the secondary flight plan could have helped with less FMS workload and more monitoring of the approach.
Human Factors,I operated Aircraft X ZZZ-ZZZ1 on DATE with a suspected fuel leak that resulted in an engine shutdown and diversion to ZZZ2.I was the Pilot Monitoring and the First Officer was the Pilot Flying on this flight. Around the ZZZ3 area the left center tank low pressure lights flickered and I turned the left center pump off with about 400 pounds remaining in the center tank. I didn't see a fuel imbalance between the left and right tanks at this time. Several minutes later the center fuel tank was empty and I turned the right center pump switch off. In addition at this time I didn't notice anything abnormal about the cross feed valve selector or light.At approximately 70 miles SE of ZZZ2; I heard the First Officer say we had a fuel imbalance and looked over to see the fuel IMBAL light illuminated on the right fuel tank. At this point I noted a 1;000 pound fuel imbalance and that in my experience the fuel in the right tank was decreasing at an abnormally fast rate. It had only been around 10 minutes since I turned off the center fuel tanks. At this point the First Officer and myself thought a fuel leak was plausible due to a 1;000 pound fuel imbalance occurring in around 10 minutes and observing an abnormally high rate of fuel decreasing from the right tank. I proceeded to run the fuel leak-engine QRH and contacted the flight attendants to request one of them check for a fuel leak/mist coming from the back of the right (#2) engine. While running the QRH I felt time pressures to stop the fuel imbalance before it led to adverse control issues. At step 5 I recorded the total fuel and time (I don't remember what I recorded) and proceeded to the condition statement in step 6. After reading the condition statements and based on the abnormally high rate of fuel decrease in the right tank I proceeded to step 7. At this point I thought I confirmed an engine fuel leak because we were now at 1;200 pounds imbalance in 10-15 minutes. Far greater than the 500 pounds in less than 30 minutes that the QRH states. By this time the FA reported not seeing any fuel leaking from behind the right (#2) engine. Knowing that we were going to shut down the #2 engine I requested priority handling and requested a lower altitude. In addition we requested vectors to ZZZ2. By the time we shut down the #2 engine we had a 1;400 pound fuel imbalance. I'd like to add that after shutting down the #2 engine the QRH calls for the cross feed selector to be opened. The cross feed valve opened normally with no abnormal indications and closed normally with no abnormal indications several minutes later when we decided to even out the imbalance by burning fuel from the left tank.We completed the QRH; received landing data from dispatch and briefed the FAs and PAX. Finally we were vectored to an ILS XXR in visual conditions. On the ground in ZZZ2 we waited 30-45 minutes for Customs to arrive and spoke to the PAX about the delayed deplaning. I don't have any additional information to add to the ASAP report than what I reported above in the event narrative.While rereading the Fuel leak-engine QRH step 6 after the event; I realize that my decision to proceed to step 7 was based on what I read the step 6 condition statement to say of 'the fuel quantity is decreasing at an abnormal rate out of the right tank'. Rather than basing it on what the condition statement actually said 'or the total fuel quantity is decreasing at an abnormal rate'. This was a mistake.I can say that the fuel imbalance QRH checklist would probably have been more appropriate to call first. However this wasn't an imbalance that took time to develop. We experienced the fuel IMBAL light and an abnormally high rate of fuel decrease from the right tank around 10 minutes after turning the center pumps off. I didn't notice any fuel imbalance prior to turning the center tanks off. I don't think that it was unreasonable to run the fuel leak-engine QRH in these circumstances.
Aircraft,On approach into ZZZ around 5;000 feet MSL; we began selecting flaps. The flaps began to extend but froze at about 0.5 degrees extension.We told ZZZ Approach that we needed to cancel the approach. ZZZ Approach vectored us north on downwind so we could run the appropriate QRH.We determined the correct QRH in this situation to be: Trailing Edge Flap Disagree - The trailing edge flaps are not in the commanded (flap handle) position. There was no asymmetry. We completed the QRH; landed; and taxied to the gate uneventfully.We are awaiting the cause for the flap extension failure from the maintenance investigation. Practicing flap malfunctions in CQ (Continuing Qualification) definitely helped with the flap failure on this flight. Also it's been great practicing early missed approaches in CQ the past 2 years as I got to apply that training on this flight!
Human Factors,On the STAR into ZZZ. Taken off STAR for radar vectors to final. On base leg; field in sight; were cleared for Visual Approach. Selected VNAV; LNAV; and field elevation in the Mode Control Panel the aircraft was high and slow to descend and slow to approach speed. At FAF I notified the First Officer; the trend was high and a MAP was likely going to happen. Just before 1;000 feet AGL configuration gate; still not in final configuration; I called for go-around. Go-around was uneventful and the right call. On setup for Final Approach FIX. Flying the MAX; it is slick and takes longer to slow and descend. We were left high before [the] next fix on approach and could have used Vertical Speed to expedite descent then selected LNAV/VNAV. While we could have continued and attempted to make [the] configuration gate; I felt it was best to discontinue approach and go-around. Go-around was uneventful.Be prepared for being left high on STAR and be ready to expedite descent to continue approach. Remember when flying [the] MAX it does not slow and descend as quick as [the 737] NG.
Aircraft,After takeoff while in the climb about 4;000 feet to level off at 5;000 feet which was our clearance altitude with auto pilot off we got a EICAS message stab trim unscheduled. There was no change felt in the flight controls and a check of the trim tab show no signs of moving or movement. I called for the QRH and asked the First Officer to engage the autopilot. We leveled off at 5;000 feet and proceeded with the QRH. ATC cleared us to climb to 15;000 feet at which time we notified ATC that we would like to remain at 5;000 feet while we work on an issue and complete a check list. After completing the QRH; autopilot center and right would not engage. We elected to return to our departure airport. We notified ATC and got radar vectors to the airport for an ILS approach and landing without incident. We went back to the ramp and after finally getting a parking spot; the item was entered in the airplane log book.This failure was cause by flight control computer failure; which may be a result of the airplane sitting in extreme cold weather for a few days.I'm not sure of what could have prevented this failure as the cold weather is unavoidable. Maybe not having the airplane sitting in extreme cold weather could have help.
Aircraft,After takeoff; before 10;000 feet; I began hearing a loud knocking and grinding noise every few seconds. I thought it was strange and wondered what it was. Shortly after; the flight deck called and asked if I heard it and where I suspected the sound was coming from. He said they thought it was a problem with the nose gear; that we were turning back to ZZZ and did not know if we would be able to get the landing gear down; so to prepare for that and that he would let us know. I called the back and told them to begin going over their commands; etc.; we made the necessary announcements. The Captain also gave an announcement. I chatted with the flight deck again; once or twice; about the sound; how I was doing; if the cabin was ready. I told him I was hoping for the best; but preparing for the worst. We heard the landing gear come down only it was louder; longer; and different than the normal sound. At this point; I assumed we would be in an emergency landing/evacuation situation. Then the flight deck called and said the panels all indicated there were no issues and that he was anticipating a normal landing. I relayed the info to the back; we did a quick cabin check for seat belts; and strapped in; still a bit uncertain what would happen. Just before touchdown; maybe 3 minutes to landing; the Captain called and asked if we were ready. I replied that we were ready. We landed safely and breathed a sigh of relief. We were taxiing slowly; we could see fire trucks (presumably to meet us if it went bad) and all of a sudden heard the computer giving the command 'remain seated.' We all began shouting our commands to remain seated. I was going over the next steps - release seat belts; how I would pull the large handle (not the small; that I am so used to pulling to disarm) and what the evacuation would look like. I reminded myself where the megaphone was and how; once every one was off; I would check the cabin. I decided in my mind who I would have help at the bottom as there was a family traveling in first with their 3 small children. So I decided the dad would not be a good ABA (Able Bodied Assistant) because he would want help his children.All this happened very fast. The passengers were unsettled and a little panicky from the commands being shouted. There was a lot of confusion. Then the phone rang and the flight deck said the alarm was going off; indicating an over the wing exit had been opened. Was it open; was someone trying to leave the plane? I did not know; said I would call him back. I ran down the aisle and arrived to see the exit panel off the window. I asked the passenger closest if she had taken that off. She said it had fallen. I ran back to the phone and let the flight deck know. I asked them if we would be going to the gate; which gate if so; or air stairs? Then I walked through the cabin telling people that everything was fine; there was a false alarm that the window exit was open; but all is OK and we would be at the gate shortly. The Captain then made an announcement and I went to my jump seat; then also made an announcement about taxiing; staying in their seat; keeping seat belts fastened; etc. we arrived safely; albeit very shaken up.
Procedure,Found L-3 door knurled nut safetied but fork not engaged (see pic). During initial review; Job Card XXXXXXXXXXX was accomplished in ZZZ on DATE.
Human Factors,At XA:00 on Date; I pushed the Aircraft X out of the hangar to the pad for an engine run following a borescope inspection. After I pushed the aircraft; [I] disconnected the tug. The air stairs were pushed to the aircraft for the second mechanic to occupy the right seat for the engine run. At this time I was the ground man responsible for making sure that no one or thing walked in front of or behind the aircraft engines. The flag man was in position prior to engine start . At this time the person running the aircraft asked for start on the number 2 engine. I signaled him that the area was clear of personnel and equipment and to start number 2. Just after the engine lit off I observed sparks and heard noises coming from [the] number 2 engine. I signaled to the run man very animated to shut down. He did not immediately shut down and I again signaled to shut down. As the engine was winding down I observed parts of a radio on the ground and in the engine inlet. Also we found parts of the radio on the ground behind the engine. Some smaller parts were stuck to the engine blades.The event occurred because one of the individuals left his radio in the inlet after calling Quality Control to do the borescope inspection of the engine. This individual also was the one running the engine and did not do his walk around of the aircraft and clear the engines prior to running the aircraft engine.My suggestion is that we have a checklist that is required to be checked off and signed for at each run event prior to engine start that is signed and placed in the work package.
Ambiguous,Aircraft X on takeoff BWI Runway 15L; after gear and flaps raised the TAWS (Terrain Awareness Warning System) began issuing erroneous terrain warnings. Tower gave a vector right turn to 330 degrees to level off at 4;000 [feet]. With the terrain warnings and autopilot not engaging; the pilot flying was trending to miss the level off and rollout on heading. Captain took the aircraft and leveled off at approx 4;500 ft and a 360 heading. While correcting to assigned heading and altitude; crew missed the frequency change to Departure and transmitted on Tower. Crew corrected to originally issued heading and altitude; switched to departure frequency and continued without incident.
